Fam ID	Indiv ID	Wsp
DGRP-2-0021	DGRP-2-0021	1
DGRP-2-0026	DGRP-2-0026	0
DGRP-2-0028	DGRP-2-0028	0
DGRP-2-0031	DGRP-2-0031	0
DGRP-2-0032	DGRP-2-0032	0
DGRP-2-0038	DGRP-2-0038	0
DGRP-2-0040	DGRP-2-0040	1
DGRP-2-0041	DGRP-2-0041	0
DGRP-2-0042	DGRP-2-0042	0
DGRP-2-0045	DGRP-2-0045	0
DGRP-2-0048	DGRP-2-0048	1
DGRP-2-0057	DGRP-2-0057	0
DGRP-2-0059	DGRP-2-0059	0
DGRP-2-0069	DGRP-2-0069	1
DGRP-2-0073	DGRP-2-0073	1
DGRP-2-0075	DGRP-2-0075	1
DGRP-2-0083	DGRP-2-0083	0
DGRP-2-0085	DGRP-2-0085	0
DGRP-2-0088	DGRP-2-0088	1
DGRP-2-0091	DGRP-2-0091	0
DGRP-2-0093	DGRP-2-0093	0
DGRP-2-0100	DGRP-2-0100	1
DGRP-2-0101	DGRP-2-0101	0
DGRP-2-0105	DGRP-2-0105	0
DGRP-2-0109	DGRP-2-0109	0
DGRP-2-0129	DGRP-2-0129	0
DGRP-2-0136	DGRP-2-0136	1
DGRP-2-0138	DGRP-2-0138	1
DGRP-2-0142	DGRP-2-0142	0
DGRP-2-0149	DGRP-2-0149	0
DGRP-2-0153	DGRP-2-0153	1
DGRP-2-0158	DGRP-2-0158	1
DGRP-2-0161	DGRP-2-0161	1
DGRP-2-0176	DGRP-2-0176	0
DGRP-2-0177	DGRP-2-0177	0
DGRP-2-0181	DGRP-2-0181	1
DGRP-2-0189	DGRP-2-0189	1
DGRP-2-0195	DGRP-2-0195	0
DGRP-2-0208	DGRP-2-0208	0
DGRP-2-0217	DGRP-2-0217	0
DGRP-2-0223	DGRP-2-0223	1
DGRP-2-0227	DGRP-2-0227	1
DGRP-2-0228	DGRP-2-0228	0
DGRP-2-0229	DGRP-2-0229	0
DGRP-2-0233	DGRP-2-0233	0
DGRP-2-0235	DGRP-2-0235	0
DGRP-2-0237	DGRP-2-0237	1
DGRP-2-0239	DGRP-2-0239	0
DGRP-2-0256	DGRP-2-0256	1
DGRP-2-0280	DGRP-2-0280	1
DGRP-2-0287	DGRP-2-0287	1
DGRP-2-0301	DGRP-2-0301	0
DGRP-2-0303	DGRP-2-0303	0
DGRP-2-0304	DGRP-2-0304	1
DGRP-2-0306	DGRP-2-0306	1
DGRP-2-0307	DGRP-2-0307	0
DGRP-2-0309	DGRP-2-0309	0
DGRP-2-0310	DGRP-2-0310	1
DGRP-2-0313	DGRP-2-0313	0
DGRP-2-0315	DGRP-2-0315	0
DGRP-2-0317	DGRP-2-0317	1
DGRP-2-0318	DGRP-2-0318	1
DGRP-2-0319	DGRP-2-0319	1
DGRP-2-0320	DGRP-2-0320	1
DGRP-2-0321	DGRP-2-0321	1
DGRP-2-0324	DGRP-2-0324	0
DGRP-2-0332	DGRP-2-0332	0
DGRP-2-0335	DGRP-2-0335	1
DGRP-2-0336	DGRP-2-0336	1
DGRP-2-0338	DGRP-2-0338	1
DGRP-2-0340	DGRP-2-0340	1
DGRP-2-0348	DGRP-2-0348	0
DGRP-2-0350	DGRP-2-0350	0
DGRP-2-0352	DGRP-2-0352	0
DGRP-2-0354	DGRP-2-0354	0
DGRP-2-0355	DGRP-2-0355	1
DGRP-2-0356	DGRP-2-0356	1
DGRP-2-0357	DGRP-2-0357	0
DGRP-2-0358	DGRP-2-0358	0
DGRP-2-0359	DGRP-2-0359	0
DGRP-2-0360	DGRP-2-0360	1
DGRP-2-0361	DGRP-2-0361	1
DGRP-2-0362	DGRP-2-0362	1
DGRP-2-0365	DGRP-2-0365	1
DGRP-2-0367	DGRP-2-0367	0
DGRP-2-0370	DGRP-2-0370	1
DGRP-2-0371	DGRP-2-0371	0
DGRP-2-0373	DGRP-2-0373	0
DGRP-2-0374	DGRP-2-0374	1
DGRP-2-0375	DGRP-2-0375	0
DGRP-2-0377	DGRP-2-0377	0
DGRP-2-0379	DGRP-2-0379	0
DGRP-2-0380	DGRP-2-0380	1
DGRP-2-0381	DGRP-2-0381	0
DGRP-2-0382	DGRP-2-0382	1
DGRP-2-0383	DGRP-2-0383	1
DGRP-2-0385	DGRP-2-0385	0
DGRP-2-0386	DGRP-2-0386	0
DGRP-2-0390	DGRP-2-0390	0
DGRP-2-0391	DGRP-2-0391	0
DGRP-2-0392	DGRP-2-0392	0
DGRP-2-0395	DGRP-2-0395	0
DGRP-2-0397	DGRP-2-0397	1
DGRP-2-0399	DGRP-2-0399	0
DGRP-2-0405	DGRP-2-0405	1
DGRP-2-0406	DGRP-2-0406	0
DGRP-2-0409	DGRP-2-0409	1
DGRP-2-0426	DGRP-2-0426	0
DGRP-2-0427	DGRP-2-0427	0
DGRP-2-0437	DGRP-2-0437	0
DGRP-2-0439	DGRP-2-0439	0
DGRP-2-0440	DGRP-2-0440	1
DGRP-2-0441	DGRP-2-0441	1
DGRP-2-0443	DGRP-2-0443	0
DGRP-2-0461	DGRP-2-0461	0
DGRP-2-0486	DGRP-2-0486	1
DGRP-2-0491	DGRP-2-0491	0
DGRP-2-0492	DGRP-2-0492	0
DGRP-2-0502	DGRP-2-0502	0
DGRP-2-0505	DGRP-2-0505	1
DGRP-2-0508	DGRP-2-0508	0
DGRP-2-0509	DGRP-2-0509	0
DGRP-2-0513	DGRP-2-0513	1
DGRP-2-0517	DGRP-2-0517	0
DGRP-2-0528	DGRP-2-0528	1
DGRP-2-0530	DGRP-2-0530	1
DGRP-2-0531	DGRP-2-0531	1
DGRP-2-0535	DGRP-2-0535	1
DGRP-2-0551	DGRP-2-0551	1
DGRP-2-0555	DGRP-2-0555	1
DGRP-2-0559	DGRP-2-0559	0
DGRP-2-0563	DGRP-2-0563	0
DGRP-2-0566	DGRP-2-0566	0
DGRP-2-0584	DGRP-2-0584	1
DGRP-2-0589	DGRP-2-0589	0
DGRP-2-0595	DGRP-2-0595	1
DGRP-2-0596	DGRP-2-0596	0
DGRP-2-0627	DGRP-2-0627	0
DGRP-2-0630	DGRP-2-0630	1
DGRP-2-0634	DGRP-2-0634	1
DGRP-2-0639	DGRP-2-0639	1
DGRP-2-0703	DGRP-2-0703	1
DGRP-2-0705	DGRP-2-0705	0
